"Date","Time (GMT)","Wind Speed (kn)","Wind Dir (deg)","Wind Gust (kn)","Air Temp (°F)","Baro (mb)","Humidity (%)","Visibility (nm)"
"2022/09/21","07:00","3.5","326","3.89","82","1014.3","-","-"
"2022/09/21","07:06","3.69","337","4.28","82","1014.2","-","-"
"2022/09/21","07:12","3.3","332","4.08","81.9","1014.2","-","-"
"2022/09/21","07:18","3.69","325","4.67","81.9","1014.2","-","-"
"2022/09/21","07:24","3.89","326","5.25","82.2","1014.1","-","-"
"2022/09/21","07:30","3.69","325","4.86","82","1014.1","-","-"
"2022/09/21","07:36","4.28","331","5.44","81.9","1014.1","-","-"
"2022/09/21","07:42","4.08","334","4.86","81.9","1014.1","-","-"
"2022/09/21","07:48","4.86","334","5.44","82","1014","-","-"
"2022/09/21","07:54","5.05","332","5.64","81.9","1014","-","-"
"2022/09/21","08:00","4.08","331","6.03","81.7","1014","-","-"
"2022/09/21","08:06","4.67","327","6.03","81.7","1014","-","-"
"2022/09/21","08:12","4.08","325","5.64","81.7","1014","-","-"
"2022/09/21","08:18","4.47","327","5.44","81.7","1013.9","-","-"
"2022/09/21","08:24","4.08","311","5.05","81.9","1013.9","-","-"
"2022/09/21","08:30","4.08","317","4.86","81.7","1013.9","-","-"
"2022/09/21","08:36","4.28","310","5.25","81.7","1013.9","-","-"
"2022/09/21","08:42","4.86","312","5.83","81.7","1013.8","-","-"
"2022/09/21","08:48","4.67","325","6.41","81.3","1013.8","-","-"
"2022/09/21","08:54","5.64","311","6.61","81.5","1013.9","-","-"
"2022/09/21","09:00","4.08","316","5.83","81.5","1013.9","-","-"
"2022/09/21","09:06","5.05","306","5.83","81.5","1013.9","-","-"
"2022/09/21","09:12","4.67","317","6.8","81.3","1013.9","-","-"
"2022/09/21","09:18","5.05","319","6.41","81.3","1013.9","-","-"
"2022/09/21","09:24","4.08","320","6.41","81.1","1013.9","-","-"
"2022/09/21","09:30","5.05","317","7.39","81.5","1013.9","-","-"
"2022/09/21","09:36","5.44","323","7","81.5","1014","-","-"
"2022/09/21","09:42","6.61","327","7.78","81.3","1014.2","-","-"
